Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
88,"6/18/20, 1:21:17 PM",61 ft,0:00:02,21 mph,764 ft,307° true,N42° 34.491' W83° 11.684',89.6 °F,66
89,"6/18/20, 1:21:19 PM",33 ft,0:00:01,23 mph,764 ft,288° true,N42° 34.497' W83° 11.695',89.6 °F,65
90,"6/18/20, 1:21:20 PM",36 ft,0:00:01,24 mph,764 ft,276° true,N42° 34.499' W83° 11.702',89.6 °F,65
91,"6/18/20, 1:21:21 PM",113 ft,0:00:03,26 mph,764 ft,274° true,N42° 34.500' W83° 11.710',89.6 °F,64
92,"6/18/20, 1:21:24 PM",183 ft,0:00:05,25 mph,763 ft,274° true,N42° 34.501' W83° 11.735',89.6 °F,65
93,"6/18/20, 1:21:29 PM",154 ft,0:00:04,26 mph,762 ft,268° true,N42° 34.503' W83° 11.776',89.6 °F,66
94,"6/18/20, 1:21:33 PM",61 ft,0:00:02,21 mph,761 ft,267° true,N42° 34.503' W83° 11.810',89.6 °F,69
95,"6/18/20, 1:21:35 PM",29 ft,0:00:02,10 mph,760 ft,266° true,N42° 34.502' W83° 11.824',89.6 °F,71
96,"6/18/20, 1:21:37 PM",6 ft,0:00:01,4.2 mph,755 ft,279° true,N42° 34.502' W83° 11.830',89.6 °F,73
97,"6/18/20, 1:21:38 PM",30 ft,0:00:03,7 mph,755 ft,299° true,N42° 34.502' W83° 11.832',89.6 °F,73
98,"6/18/20, 1:21:41 PM",18 ft,0:00:01,12 mph,755 ft,344° true,N42° 34.504' W83° 11.837',89.6 °F,73
99,"6/18/20, 1:21:42 PM",25 ft,0:00:01,17 mph,755 ft,356° true,N42° 34.507' W83° 11.839',89.6 °F,72
100,"6/18/20, 1:21:43 PM",61 ft,0:00:02,21 mph,757 ft,1° true,N42° 34.511' W83° 11.839',89.6 °F,72
101,"6/18/20, 1:21:45 PM",32 ft,0:00:01,22 mph,756 ft,358° true,N42° 34.521' W83° 11.839',89.6 °F,69
102,"6/18/20, 1:21:46 PM",132 ft,0:00:04,23 mph,757 ft,358° true,N42° 34.526' W83° 11.839',89.6 °F,73
103,"6/18/20, 1:21:50 PM",27 ft,0:00:01,18 mph,758 ft,358° true,N42° 34.548' W83° 11.840',89.6 °F,72
104,"6/18/20, 1:21:51 PM",34 ft,0:00:02,12 mph,759 ft,6° true,N42° 34.552' W83° 11.840',89.6 °F,73
105,"6/18/20, 1:21:53 PM",11 ft,0:00:03,2.4 mph,758 ft,9° true,N42° 34.558' W83° 11.840',89.6 °F,73
106,"6/18/20, 1:21:56 PM",1 ft,0:00:02,0.3 mph,759 ft,225° true,N42° 34.560' W83° 11.839',89.6 °F,73
107,"6/18/20, 1:21:58 PM",5 ft,0:00:04,0.9 mph,758 ft,13° true,N42° 34.560' W83° 11.839',89.6 °F,70
108,"6/18/20, 1:22:02 PM",9 ft,0:00:01,6 mph,759 ft,35° true,N42° 34.560' W83° 11.839',89.6 °F,69
109,"6/18/20, 1:22:03 PM",15 ft,0:00:01,10 mph,759 ft,59° true,N42° 34.562' W83° 11.838',89.6 °F,70
110,"6/18/20, 1:22:04 PM",21 ft,0:00:01,15 mph,758 ft,76° true,N42° 34.563' W83° 11.835',89.6 °F,70
111,"6/18/20, 1:22:05 PM",29 ft,0:00:01,20 mph,758 ft,84° true,N42° 34.564' W83° 11.830',89.6 °F,70
112,"6/18/20, 1:22:06 PM",77 ft,0:00:02,26 mph,758 ft,90° true,N42° 34.564' W83° 11.824',89.6 °F,70
113,"6/18/20, 1:22:08 PM",185 ft,0:00:04,32 mph,759 ft,90° true,N42° 34.564' W83° 11.807',89.6 °F,70
114,"6/18/20, 1:22:12 PM",48 ft,0:00:01,33 mph,760 ft,88° true,N42° 34.564' W83° 11.765',89.6 °F,70
115,"6/18/20, 1:22:13 PM",200 ft,0:00:04,34 mph,760 ft,89° true,N42° 34.565' W83° 11.755',89.6 °F,73
116,"6/18/20, 1:22:17 PM",102 ft,0:00:02,35 mph,761 ft,88° true,N42° 34.565' W83° 11.710',89.6 °F,71
117,"6/18/20, 1:22:19 PM",51 ft,0:00:01,35 mph,762 ft,87° true,N42° 34.566' W83° 11.687',89.6 °F,75
118,"6/18/20, 1:22:20 PM",101 ft,0:00:02,35 mph,762 ft,87° true,N42° 34.566' W83° 11.676',89.6 °F,77
119,"6/18/20, 1:22:22 PM",51 ft,0:00:01,35 mph,764 ft,86° true,N42° 34.567' W83° 11.653',89.6 °F,80
120,"6/18/20, 1:22:23 PM",50 ft,0:00:01,34 mph,765 ft,88° true,N42° 34.567' W83° 11.642',89.6 °F,73
121,"6/18/20, 1:22:24 PM",153 ft,0:00:03,35 mph,765 ft,88° true,N42° 34.568' W83° 11.631',89.6 °F,70
122,"6/18/20, 1:22:27 PM",102 ft,0:00:02,35 mph,764 ft,89° true,N42° 34.568' W83° 11.597',89.6 °F,67
123,"6/18/20, 1:22:29 PM",197 ft,0:00:04,34 mph,764 ft,88° true,N42° 34.569' W83° 11.574',89.6 °F,66
124,"6/18/20, 1:22:33 PM",133 ft,0:00:03,30 mph,764 ft,88° true,N42° 34.570' W83° 11.530',89.6 °F,69
125,"6/18/20, 1:22:36 PM",101 ft,0:00:03,23 mph,766 ft,93° true,N42° 34.570' W83° 11.500',89.6 °F,70
126,"6/18/20, 1:22:39 PM",41 ft,0:00:02,14 mph,762 ft,141° true,N42° 34.570' W83° 11.478',89.6 °F,70
127,"6/18/20, 1:22:41 PM",81 ft,0:00:03,19 mph,761 ft,183° true,N42° 34.564' W83° 11.472',89.6 °F,69
128,"6/18/20, 1:22:44 PM",97 ft,0:00:03,22 mph,762 ft,181° true,N42° 34.551' W83° 11.473',89.6 °F,69
129,"6/18/20, 1:22:47 PM",36 ft,0:00:01,25 mph,761 ft,178° true,N42° 34.535' W83° 11.473',89.6 °F,73
130,"6/18/20, 1:22:48 PM",69 ft,0:00:02,24 mph,761 ft,187° true,N42° 34.529' W83° 11.473',89.6 °F,79
131,"6/18/20, 1:22:50 PM",67 ft,0:00:02,23 mph,761 ft,205° true,N42° 34.518' W83° 11.475',89.6 °F,81
132,"6/18/20, 1:22:52 PM",32 ft,0:00:01,22 mph,761 ft,217° true,N42° 34.508' W83° 11.481',89.6 °F,79
133,"6/18/20, 1:22:53 PM",32 ft,0:00:01,22 mph,761 ft,225° true,N42° 34.504' W83° 11.486',89.6 °F,74
134,"6/18/20, 1:22:54 PM",34 ft,0:00:01,23 mph,760 ft,228° true,N42° 34.500' W83° 11.491',89.6 °F,70
135,"6/18/20, 1:22:55 PM",74 ft,0:00:02,25 mph,761 ft,230° true,N42° 34.496' W83° 11.496',89.6 °F,71
136,"6/18/20, 1:22:57 PM",192 ft,0:00:05,26 mph,761 ft,229° true,N42° 34.488' W83° 11.509',89.6 °F,70
137,"6/18/20, 1:23:02 PM",113 ft,0:00:03,26 mph,762 ft,229° true,N42° 34.467' W83° 11.541',89.6 °F,71
138,"6/18/20, 1:23:05 PM",145 ft,0:00:04,25 mph,761 ft,223° true,N42° 34.455' W83° 11.560',89.6 °F,71
139,"6/18/20, 1:23:09 PM",36 ft,0:00:01,25 mph,762 ft,214° true,N42° 34.438' W83° 11.582',89.6 °F,68
140,"6/18/20, 1:23:10 PM",71 ft,0:00:02,24 mph,762 ft,204° true,N42° 34.433' W83° 11.587',89.6 °F,67
141,"6/18/20, 1:23:12 PM",72 ft,0:00:02,24 mph,762 ft,196° true,N42° 34.422' W83° 11.593',89.6 °F,66
142,"6/18/20, 1:23:14 PM",146 ft,0:00:04,25 mph,763 ft,182° true,N42° 34.411' W83° 11.598',89.6 °F,66
143,"6/18/20, 1:23:18 PM",151 ft,0:00:04,26 mph,764 ft,177° true,N42° 34.387' W83° 11.598',89.6 °F,68
144,"6/18/20, 1:23:22 PM",38 ft,0:00:01,26 mph,762 ft,172° true,N42° 34.362' W83° 11.597',89.6 °F,69
145,"6/18/20, 1:23:23 PM",76 ft,0:00:02,26 mph,762 ft,164° true,N42° 34.356' W83° 11.596',89.6 °F,68
146,"6/18/20, 1:23:25 PM",75 ft,0:00:02,25 mph,761 ft,152° true,N42° 34.344' W83° 11.591',89.6 °F,67
147,"6/18/20, 1:23:27 PM",34 ft,0:00:01,23 mph,760 ft,143° true,N42° 34.333' W83° 11.583',89.6 °F,67
148,"6/18/20, 1:23:28 PM",57 ft,0:00:02,20 mph,760 ft,135° true,N42° 34.329' W83° 11.579',89.6 °F,67
149,"6/18/20, 1:23:30 PM",24 ft,0:00:01,16 mph,759 ft,127° true,N42° 34.322' W83° 11.570',89.6 °F,67
150,"6/18/20, 1:23:31 PM",20 ft,0:00:01,14 mph,759 ft,145° true,N42° 34.320' W83° 11.565',89.6 °F,67
151,"6/18/20, 1:23:32 PM",33 ft,0:00:02,11 mph,759 ft,188° true,N42° 34.317' W83° 11.563',89.6 °F,67
152,"6/18/20, 1:23:34 PM",23 ft,0:00:01,16 mph,759 ft,233° true,N42° 34.312' W83° 11.564',89.6 °F,67
153,"6/18/20, 1:23:35 PM",57 ft,0:00:02,19 mph,759 ft,233° true,N42° 34.309' W83° 11.568',89.6 °F,64
154,"6/18/20, 1:23:37 PM",65 ft,0:00:02,22 mph,761 ft,236° true,N42° 34.304' W83° 11.578',89.6 °F,68
155,"6/18/20, 1:23:39 PM",35 ft,0:00:01,24 mph,760 ft,240° true,N42° 34.298' W83° 11.590',89.6 °F,71
156,"6/18/20, 1:23:40 PM",35 ft,0:00:01,24 mph,760 ft,246° true,N42° 34.295' W83° 11.597',89.6 °F,72
