Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
150,"5/13/20, 12:54:52 PM",43 ft,0:00:03,10 mph,748 ft,3° true,N42° 34.206' W83° 11.589',95.0 °F,56
151,"5/13/20, 12:54:55 PM",54 ft,0:00:02,18 mph,749 ft,355° true,N42° 34.213' W83° 11.589',95.0 °F,58
152,"5/13/20, 12:54:57 PM",126 ft,0:00:04,21 mph,750 ft,358° true,N42° 34.221' W83° 11.590',95.0 °F,58
153,"5/13/20, 12:55:01 PM",141 ft,0:00:04,24 mph,753 ft,357° true,N42° 34.242' W83° 11.591',95.0 °F,57
154,"5/13/20, 12:55:05 PM",35 ft,0:00:01,24 mph,756 ft,348° true,N42° 34.265' W83° 11.593',95.0 °F,60
155,"5/13/20, 12:55:06 PM",68 ft,0:00:02,23 mph,756 ft,346° true,N42° 34.271' W83° 11.595',95.0 °F,61
156,"5/13/20, 12:55:08 PM",47 ft,0:00:02,16 mph,755 ft,346° true,N42° 34.282' W83° 11.598',95.0 °F,64
157,"5/13/20, 12:55:10 PM",14 ft,0:00:01,10 mph,753 ft,325° true,N42° 34.289' W83° 11.601',95.0 °F,65
158,"5/13/20, 12:55:11 PM",32 ft,0:00:02,11 mph,754 ft,289° true,N42° 34.291' W83° 11.603',95.0 °F,65
159,"5/13/20, 12:55:13 PM",73 ft,0:00:03,17 mph,754 ft,261° true,N42° 34.293' W83° 11.609',95.0 °F,65
160,"5/13/20, 12:55:16 PM",93 ft,0:00:03,21 mph,757 ft,263° true,N42° 34.291' W83° 11.625',95.0 °F,64
161,"5/13/20, 12:55:19 PM",28 ft,0:00:01,19 mph,758 ft,268° true,N42° 34.289' W83° 11.646',95.0 °F,63
162,"5/13/20, 12:55:20 PM",64 ft,0:00:03,14 mph,757 ft,278° true,N42° 34.289' W83° 11.652',95.0 °F,63
163,"5/13/20, 12:55:23 PM",36 ft,0:00:02,12 mph,757 ft,324° true,N42° 34.290' W83° 11.666',95.0 °F,63
164,"5/13/20, 12:55:25 PM",27 ft,0:00:01,19 mph,757 ft,2° true,N42° 34.295' W83° 11.671',95.0 °F,66
165,"5/13/20, 12:55:26 PM",101 ft,0:00:03,23 mph,757 ft,0° true,N42° 34.300' W83° 11.671',95.0 °F,66
166,"5/13/20, 12:55:29 PM",38 ft,0:00:01,26 mph,758 ft,358° true,N42° 34.316' W83° 11.671',95.0 °F,70
167,"5/13/20, 12:55:30 PM",195 ft,0:00:05,27 mph,758 ft,357° true,N42° 34.322' W83° 11.671',95.0 °F,72
168,"5/13/20, 12:55:35 PM",82 ft,0:00:02,28 mph,758 ft,359° true,N42° 34.354' W83° 11.673',95.0 °F,71
169,"5/13/20, 12:55:37 PM",85 ft,0:00:02,29 mph,758 ft,358° true,N42° 34.368' W83° 11.673',95.0 °F,71
